id,title,content
1,미냥쿵 442c 행성 개요,미냥쿵 442c는 지구에서 1200광년 떨어진 쌍성계에 위치한 행성입니다. 표면 중력은 지구의 2.3배이며 대기압은 지구의 4.7배입니다. 하루는 47시간이고 1년은 지구의 892일에 해당합니다. 두 개의 태양 미냥쿵A와 미냥쿵B가 32시간 주기로 교대로 떠오릅니다.
2,대기 구성과 기후,미냥쿵 442c의 대기는 산소 34% 질소 41% 아르곤 18% 크세논 7%로 구성되어 있습니다. 평균 기온은 영하 23도에서 영상 67도 사이입니다. 크세논 농도가 높아 공기가 푸른빛을 띠며 호흡 시 약간의 마취 효과가 있습니다. 계절은 3개로 나뉘며 각각 297일씩 지속됩니다.
3,지질학적 특성,행성 표면의 68%가 실리콘-티타늄 합금으로 이루어진 결정체 평원입니다. 지하 500미터에는 액체 메탄 바다가 존재하며 온도는 항상 영하 180도를 유지합니다. 화산 활동은 매그마 대신 초고온 수소 플라즈마를 분출하며 온도는 15000도에 달합니다. 중력 이상 지역에서는 물체가 공중에 떠오르기도 합니다.
4,생명체 - 크리스털 나무,미냥쿵 442c의 대표적인 생명체는 크리스털 나무입니다. 높이 45미터까지 자라며 투명한 실리콘 구조로 되어 있습니다. 광합성 대신 전자기 복사선을 흡수하여 에너지를 만듭니다. 잎사귀는 홀로그램처럼 빛을 굴절시키며 계절에 따라 스펙트럼이 변화합니다. 뿌리는 지하 메탄 바다까지 뻗어 있습니다.
5,생명체 - 플라즈마 조류,플라즈마 조류는 미냥쿵 442c 상공 12km 고도에서 서식하는 에너지 생명체입니다. 몸길이는 3미터이며 순수한 전기 에너지로 구성되어 있습니다. 먹이는 우주 방사선이고 번식은 자기장 공명을 통해 이루어집니다. 수명은 약 450년이며 죽을 때 강력한 전자기 펄스를 방출합니다.
6,생명체 - 중력 조개,중력 조개는 미냥쿵 442c의 바다와 호수에 서식하는 독특한 생물입니다. 크기는 지름 80센티미터이고 자체적으로 중력장을 조작할 수 있습니다. 위험을 감지하면 주변 중력을 3배까지 증가시켜 포식자를 꼼짝 못하게 만듭니다. 껍질은 반중력 물질로 되어 있어 가공하면 우주선 추진체로 사용됩니다.
7,원주민 종족 - 젤라티안,젤라티안은 미냥쿵 442c의 지배적인 지적 생명체입니다. 키는 평균 3.2미터이고 반투명한 젤 형태의 몸을 가지고 있습니다. 뼈 대신 자기장으로 몸의 형태를 유지하며 원하는 대로 몸의 밀도를 조절할 수 있습니다. 수명은 2000년이고 텔레파시로 소통합니다. 기술 수준은 지구보다 약 300년 앞서 있습니다.
8,젤라티안 도시 - 네오 크리스탈리스,네오 크리스탈리스는 젤라티안의 수도로 인구 340만 명이 거주합니다. 도시 전체가 거대한 크리스털 구조물로 되어 있으며 중력 조절 기술로 건물들이 공중에 떠 있습니다. 교통수단은 자기 부상 캡슐이고 에너지원은 플라즈마 조류를 포획하여 얻습니다. 도시 중앙에는 차원 관측소가 있어 다른 우주와 소통합니다.
9,기술 - 차원 점프 장치,젤라티안이 개발한 차원 점프 장치는 공간을 접어 순간 이동을 가능하게 합니다. 최대 거리는 50광년이고 한 번 사용할 때마다 플라즈마 조류 에너지 50단위가 필요합니다. 장치는 크리스털 나무의 홀로그램 잎으로 만든 공명 렌즈를 사용합니다. 부작용으로 사용 후 시공간 왜곡이 72시간 지속됩니다.
10,기술 - 중력파 통신,젤라티안의 주요 통신 수단은 중력파를 이용한 실시간 통신입니다. 중력 조개의 껍질을 가공한 안테나로 우주 어디서든 즉시 통신할 수 있습니다. 통신 속도는 빛의 속도보다 4.7배 빠르며 차원 간 통신도 가능합니다. 한 번 통신할 때마다 미냥쿵B 항성의 에너지 0.001%가 소모됩니다.
11,자원 - 크로노스 결정,크로노스 결정은 미냥쿵 442c에서만 발견되는 시간 조작 광물입니다. 지하 3000미터 고압 환경에서 형성되며 색깔은 보라색에서 금색까지 다양합니다. 이 결정 근처에서는 시간이 30% 느리게 흐르며 특수 가공하면 시간 여행이 가능합니다. 1그램당 가치는 지구 화폐로 100억 달러에 해당합니다.
12,자원 - 양자 수정액,양자 수정액은 크리스털 나무에서 추출되는 투명한 액체입니다. 이 액체는 양자 상태를 안정화시키는 성질이 있어 양자 컴퓨터의 핵심 재료로 사용됩니다. 끓는점은 영하 45도이고 어는점은 영하 230도입니다. 공기 중에 노출되면 무지개색으로 발광하며 중력의 영향을 받지 않습니다.
13,날씨 현상 - 전자기 폭풍,미냥쿵 442c에서는 월 2-3회 전자기 폭풍이 발생합니다. 이 폭풍은 플라즈마 조류들의 집단 번식 행동으로 인해 생기며 지속 시간은 18-25시간입니다. 폭풍 중에는 모든 전자 장비가 작동하지 않고 중력이 불규칙하게 변화합니다. 젤라티안들은 이 시기를 명상의 시간으로 여깁니다.
14,날씨 현상 - 크세논 오로라,높은 크세논 농도로 인해 미냥쿵 442c의 밤하늘에는 특별한 오로라가 나타납니다. 색깔은 은색에서 보라색까지 변화하며 지속 시간은 평균 6시간입니다. 이 오로라는 시공간을 일시적으로 뒤틀어 과거나 미래의 모습을 볼 수 있게 해줍니다. 젤라티안들은 이를 통해 미래를 예측하여 중요한 결정을 내립니다.
15,문화 - 공명 축제,젤라티안의 가장 큰 축제는 두 태양이 동시에 뜨는 897일마다 열리는 공명 축제입니다. 축제 기간 동안 모든 젤라티안이 텔레파시로 하나의 거대한 의식을 공유합니다. 크리스털 나무들이 특별한 홀로그램을 발산하고 플라즈마 조류들이 조화로운 전자기 교향곡을 연주합니다. 이 축제는 147시간 동안 지속됩니다.