id,name,category,price,description,features,pros,cons
1,삼성 갤럭시 스마트폰,전자제품,899000,"최신 삼성 갤럭시 스마트폰으로 고성능 프로세서와 우수한 카메라 성능을 자랑합니다","고성능 프로세서, 48MP 카메라, 5G 지원, 128GB 저장공간","뛰어난 카메라 품질, 빠른 성능, 긴 배터리 수명","높은 가격, 무거운 무게"
2,아이폰 14 프로,전자제품,1299000,"애플의 최신 아이폰으로 A16 바이오닉 칩과 프로 카메라 시스템을 탑재했습니다","A16 바이오닉 칩, 48MP 프로 카메라, 6.1인치 Super Retina XDR 디스플레이","최고급 빌드 품질, 우수한 생태계 연동, 뛰어난 카메라","매우 높은 가격, 제한적인 커스터마이징"
3,LG 냉장고 4도어,가전제품,1890000,"넓은 공간과 에너지 효율성을 갖춘 4도어 냉장고입니다","4도어 구조, 인버터 컴프레서, 스마트 온도조절, 600L 용량","넓은 저장공간, 에너지 절약, 스마트 기능","큰 크기, 높은 초기 비용"
4,다이슨 무선청소기 V15,가전제품,899000,"강력한 흡입력과 무선 편의성을 제공하는 프리미엄 청소기입니다","레이저 먼지 감지, 60분 사용시간, 다양한 브러시 헤드","강력한 흡입력, 편리한 무선 사용, 다양한 브러시","높은 가격, 무거운 무게"
5,아이패드 프로 12.9인치,전자제품,1499000,"M2 칩을 탑재한 고성능 태블릿으로 작업과 엔터테인먼트에 최적화되었습니다","M2 칩, 12.9인치 Liquid Retina XDR 디스플레이, Apple Pencil 지원","뛰어난 성능, 우수한 디스플레이, 생산성 도구","높은 가격, 액세서리 별도 구매"
6,나이키 에어맥스 운동화,의류/신발,179000,"편안함과 스타일을 겸비한 클래식 운동화입니다","에어맥스 쿠셔닝, 메쉬 소재, 다양한 컬러","편안한 착용감, 세련된 디자인, 내구성","비교적 높은 가격, 사이즈 선택 중요"
7,코스트코 아기 기저귀,육아용품,45000,"부드럽고 흡수력이 뛰어난 프리미엄 기저귀입니다","12시간 흡수, 부드러운 소재, 대용량 팩","뛰어난 흡수력, 경제적, 피부에 순함","대용량으로 보관 공간 필요, 온라인 구매만 가능"
8,레고 테크닉 자동차 세트,장난감,299000,"조립을 통해 창의력을 기르는 고급 레고 세트입니다","2573피스, 작동하는 기어박스, 상세한 설명서","창의력 개발, 고품질 부품, 교육적 가치","높은 가격, 조립 시간 오래 걸림"
9,바리스타 에스프레소 머신,가전제품,1290000,"집에서 카페 수준의 에스프레소를 만들 수 있는 전문가용 머신입니다","15바 압력, 스팀 완드, 자동 온도 조절","전문적인 커피 추출, 내구성, 다양한 음료 제조","복잡한 사용법, 정기적인 청소 필요"
10,한우 1등급 등심,식품,89000,"프리미엄 한우 등심으로 특별한 날에 어울리는 최고급 고기입니다","1등급 한우, 신선한 상태, 진공포장","최고의 맛과 품질, 영양가 높음, 선물용으로 좋음","매우 높은 가격, 짧은 유통기한"
11,애플 워치 시리즈 8,전자제품,459000,"건강 모니터링과 스마트 기능을 갖춘 최신 스마트워치입니다","혈중산소 측정, GPS 내장, 방수 기능, 45mm 크기","정확한 건강 모니터링, iPhone 연동, 다양한 앱","배터리 수명 제한, iOS 전용"
12,샤오미 공기청정기 3H,가전제품,199000,"효과적인 공기 정화와 스마트 기능을 제공하는 공기청정기입니다","HEPA 필터, 스마트폰 연동, 자동 모드, 45평 대응","뛰어난 정화 성능, 저렴한 가격, 스마트 기능","필터 교체 비용, 소음 발생"
13,곰표 밀맥주,음료,2500,"한국의 대표적인 맥주 브랜드로 깔끔한 맛이 특징입니다","4.6% 알코올, 500ml 캔, 깔끔한 맛","저렴한 가격, 친숙한 맛, 쉽게 구매 가능","특별함 부족, 알코올 도수 낮음"
14,올리브영 스킨케어 세트,화장품,79000,"민감성 피부를 위한 순한 성분의 스킨케어 세트입니다","무첨가 성분, 히알루론산 함유, 토너+에센스+크림 세트","순한 성분, 보습 효과, 합리적 가격","효과 개인차, 향이 약함"
15,치킨너겟 1kg 냉동식품,식품,12000,"간편하게 조리할 수 있는 치킨너겟 대용량 팩입니다","1kg 대용량, 에어프라이어 조리 가능, 닭가슴살 사용","간편한 조리, 경제적, 아이들이 좋아함","가공식품, 영양 균형 고려 필요"
16,무인양품 화이트 티셔츠,의류/신발,29000,"심플하고 깔끔한 디자인의 기본 티셔츠입니다","100% 면 소재, 심플한 디자인, 다양한 사이즈","편안한 착용감, 깔끔한 디자인, 합리적 가격","특별함 부족, 색상 옵션 제한"
17,플레이스테이션 5,전자제품,598000,"차세대 게임 콘솔로 뛰어난 그래픽과 빠른 로딩 속도를 자랑합니다","SSD 탑재, 4K 게임 지원, DualSense 컨트롤러","뛰어난 게임 성능, 빠른 로딩, 독점 게임","높은 가격, 구하기 어려움"
18,캠핑체어 접이식,스포츠/레저,45000,"가벼우면서도 튼튼한 접이식 캠핑 체어입니다","접이식 구조, 150kg 하중 지원, 컵홀더 포함","가벼운 무게, 편리한 접이식, 튼튼함","좌석 패딩 부족, 바람에 약함"
19,다이어트 단백질 보충제,건강식품,65000,"근육 발달과 다이어트에 도움을 주는 고품질 단백질 파우더입니다","유청단백질 25g, 저칼로리, 바닐라 맛, 2kg 용량","높은 단백질 함량, 맛있는 맛, 근육 발달 도움","가루 형태 불편, 개인차 존재"
20,키즈 생일케이크 세트,식품,35000,"아이들 생일파티를 위한 예쁜 디자인의 케이크와 촛불 세트입니다","초콜릿 케이크, 캐릭터 장식, 숫자 촛불 포함, 6호 사이즈","예쁜 디자인, 아이들이 좋아함, 완성도 높음","짧은 유통기한, 냉장보관 필요"